Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number,Salesperson ID
Amazon.com,ORD727609,2024-09-29,PO56217,GBP,316.3,36.36,10.13,1.54,702.24,632.6,72.72,B0643388,Refurbished,2,Gift Card,Cancelled,Delivered,2025-03-17,Two-Day,"110 Main St, City 54, USA","910 Elm St, City 18, USA",UPS - TRK341311,Product-40,,Charlie,John Doe,SN229620,SP-2828
Walmart,ORD578690,2024-04-28,PO57359,USD,257.5,22.22,7.22,68.92,1475.6,1802.5,155.54,B0783669,New,7,PayPal,Cancelled,Returned,2025-03-16,Standard,"132 Main St, City 11, USA","618 Elm St, City 27, USA",Amazon Logistics - TRK901347,Product-280,Happy Birthday!,Charlie,John Doe,SN840759,SP-2876
eBay,ORD388292,2025-02-22,PO40924,AUD,202.72,15.54,34.05,35.65,1278.27,1419.04,108.78,B0107531,Used - Like New,7,PayPal,Shipped,Returned,2025-03-09,Standard,"893 Main St, City 12, USA","617 Elm St, City 71, USA",USPS - TRK836304,Product-496,Happy Birthday!,Charlie,John Doe,SN534141,SP-9490
Amazon.com,ORD545809,2024-06-09,PO93877,INR,242.64,20.74,35.59,66.6,590.34,727.92,62.22,B0550683,Used - Like New,3,PayPal,Delivered,Pending,2025-03-11,Expedited,"525 Main St, City 93, USA","915 Elm St, City 12, USA",FedEx - TRK412867,Product-441,Happy Birthday!,,Emma Smith,SN402619,SP-9937
Walmart,ORD276830,2024-12-03,PO46097,USD,492.72,45.55,31.67,56.29,4337.82,4434.48,409.95,B0273275,Used - Acceptable,9,Credit Card,Cancelled,Pending,2025-03-21,Expedited,"527 Main St, City 8, USA","262 Elm St, City 41, USA",UPS - TRK633805,Product-275,Enjoy your gift!,Charlie,John Doe,SN530606,SP-8392
Amazon.com,ORD200915,2024-09-07,PO42406,USD,264.34,24.03,13.94,3.03,2853.4,2643.4,240.3,B0835379,New,10,Credit Card,Delivered,In Transit,2025-02-23,Same-Day,"589 Main St, City 88, USA","283 Elm St, City 80, USA",FedEx - TRK719026,Product-333,Happy Birthday!,Bob,,SN674984,SP-7070
Amazon.com,ORD522524,2024-04-09,PO32002,AUD,426.8,42.02,37.58,120.31,2788.08,3414.4,336.16,B0898305,Used - Like New,8,Credit Card,Shipped,In Transit,2025-03-06,Two-Day,"496 Main St, City 78, USA","878 Elm St, City 61, USA",Amazon Logistics - TRK999867,Product-436,,,Emma Smith,SN133603,SP-3397
Walmart,ORD416876,2024-12-13,PO66266,AUD,242.68,13.76,26.38,57.03,398.82,485.36,27.52,B0671338,New,2,Gift Card,Pending,Returned,2025-03-20,Standard,"537 Main St, City 17, USA","441 Elm St, City 67, USA",Amazon Logistics - TRK709577,Product-500,,,John Doe,SN441854,SP-3748
eBay,ORD333716,2024-06-25,PO21418,GBP,197.5,33.57,46.85,21.08,1259.94,1185.0,201.42,B0105845,New,6,Credit Card,Pending,Delivered,2025-02-24,Two-Day,"167 Main St, City 71, USA","980 Elm St, City 40, USA",DHL - TRK585020,Product-413,Enjoy your gift!,Bob,,SN968952,SP-2378
Best Buy,ORD784838,2024-05-17,PO53703,EUR,160.77,20.91,39.16,35.19,292.98,321.54,41.82,B0964402,Used - Like New,2,Credit Card,Cancelled,Returned,2025-02-23,Two-Day,"607 Main St, City 71, USA","698 Elm St, City 41, USA",Amazon Logistics - TRK798337,Product-6,Enjoy your gift!,Alice,John Doe,SN641901,SP-7668
Target,ORD503477,2025-02-08,PO44941,USD,285.47,42.2,26.39,29.92,1488.75,1427.35,211.0,B0484351,Used - Like New,5,Debit Card,Delivered,Pending,2025-03-08,Same-Day,"719 Main St, City 22, USA","611 Elm St, City 34, USA",DHL - TRK930274,Product-185,Happy Birthday!,Alice,Emma Smith,SN263466,SP-2445
Best Buy,ORD758397,2024-04-05,PO10309,EUR,184.51,22.02,15.22,14.3,1922.3,1845.1,220.2,B0732309,New,10,Credit Card,Shipped,Returned,2025-03-12,Two-Day,"175 Main St, City 23, USA","165 Elm St, City 76, USA",UPS - TRK668299,Product-229,Enjoy your gift!,,John Doe,SN932941,SP-9287
Amazon.com,ORD317063,2024-08-31,PO40772,GBP,426.91,78.95,34.93,38.57,467.29,426.91,78.95,B0676512,Refurbished,1,Credit Card,Pending,Delivered,2025-02-22,Same-Day,"801 Main St, City 35, USA","666 Elm St, City 100, USA",Amazon Logistics - TRK197801,Product-12,Happy Birthday!,Charlie,Emma Smith,SN237045,SP-6559
Best Buy,ORD830268,2024-05-08,PO60623,INR,336.54,55.26,10.55,41.37,3504.3,3365.4,552.6,B0316907,New,10,PayPal,Cancelled,Delivered,2025-03-04,Same-Day,"560 Main St, City 13, USA","512 Elm St, City 92, USA",Amazon Logistics - TRK302528,Product-16,Enjoy your gift!,Charlie,,SN409235,SP-8465
Target,ORD885628,2024-10-27,PO79060,AUD,16.92,2.06,47.34,2.17,168.1,169.2,20.6,B0754514,Refurbished,10,Debit Card,Pending,Pending,2025-03-10,Same-Day,"388 Main St, City 22, USA","633 Elm St, City 95, USA",FedEx - TRK492257,Product-47,Happy Birthday!,Alice,John Doe,SN867150,SP-5393
Best Buy,ORD907611,2024-05-18,PO86146,USD,158.78,12.68,19.36,21.76,1497.0,1587.8,126.8,B0789196,Used - Acceptable,10,Debit Card,Pending,Returned,2025-03-04,Same-Day,"283 Main St, City 75, USA","160 Elm St, City 82, USA",Amazon Logistics - TRK261880,Product-352,Enjoy your gift!,Bob,John Doe,SN729457,SP-7406
Target,ORD600022,2024-10-02,PO13772,AUD,23.67,3.52,27.88,5.75,107.2,118.35,17.6,B0706979,Used - Acceptable,5,PayPal,Shipped,Pending,2025-02-24,Expedited,"585 Main St, City 4, USA","115 Elm St, City 31, USA",DHL - TRK275583,Product-275,,Bob,,SN766163,SP-3756
eBay,ORD379123,2025-02-17,PO48728,GBP,34.84,3.25,10.69,2.33,250.32,243.88,22.75,B0761267,Refurbished,7,Credit Card,Delivered,Returned,2025-03-17,Same-Day,"824 Main St, City 86, USA","671 Elm St, City 34, USA",DHL - TRK641799,Product-486,,,Emma Smith,SN826863,SP-8469
Amazon.com,ORD178538,2024-04-26,PO19117,USD,347.11,20.09,11.11,79.33,2590.83,3123.99,180.81,B0240953,New,9,Credit Card,Shipped,Delivered,2025-02-22,Standard,"120 Main St, City 38, USA","571 Elm St, City 24, USA",FedEx - TRK107242,Product-240,Happy Birthday!,Charlie,Emma Smith,SN926725,SP-2651
Best Buy,ORD181009,2024-05-09,PO53257,USD,273.68,18.31,24.64,37.95,2540.4,2736.8,183.1,B0889145,New,10,Gift Card,Cancelled,Pending,2025-03-19,Two-Day,"210 Main St, City 24, USA","526 Elm St, City 38, USA",UPS - TRK621797,Product-396,Enjoy your gift!,Charlie,John Doe,SN988400,SP-7410
Target,ORD112287,2024-04-18,PO27517,AUD,472.14,66.41,47.02,111.88,1706.68,1888.56,265.64,B0797108,New,4,Gift Card,Delivered,Pending,2025-02-25,Two-Day,"826 Main St, City 23, USA","331 Elm St, City 10, USA",Amazon Logistics - TRK510061,Product-420,Happy Birthday!,,John Doe,SN112442,SP-3270
Amazon.com,ORD212365,2025-03-01,PO58909,GBP,6.08,0.61,46.2,1.73,29.76,36.48,3.66,B0908322,Used - Like New,6,Gift Card,Pending,Pending,2025-02-23,Standard,"876 Main St, City 11, USA","861 Elm St, City 44, USA",UPS - TRK990709,Product-311,Enjoy your gift!,,John Doe,SN319269,SP-2765
Target,ORD508838,2025-02-24,PO99793,EUR,87.73,8.2,28.65,9.35,86.58,87.73,8.2,B0362770,Used - Like New,1,Debit Card,Shipped,Returned,2025-03-02,Same-Day,"315 Main St, City 70, USA","194 Elm St, City 6, USA",DHL - TRK683379,Product-58,Happy Birthday!,,John Doe,SN248985,SP-9939
Target,ORD952641,2024-07-10,PO95737,AUD,87.12,8.98,31.99,7.03,890.7,871.2,89.8,B0365476,Used - Like New,10,Debit Card,Shipped,Pending,2025-03-19,Same-Day,"854 Main St, City 81, USA","999 Elm St, City 32, USA",USPS - TRK162044,Product-156,Enjoy your gift!,Charlie,,SN470550,SP-9358
Amazon.com,ORD608051,2024-11-19,PO42060,AUD,267.27,38.61,29.25,38.25,1338.15,1336.35,193.05,B0669971,New,5,Debit Card,Delivered,Pending,2025-02-24,Two-Day,"709 Main St, City 25, USA","142 Elm St, City 35, USA",USPS - TRK249225,Product-5,,Alice,John Doe,SN391710,SP-2389
Target,ORD976834,2024-10-13,PO78909,USD,390.89,74.07,7.31,64.05,400.91,390.89,74.07,B0359530,New,1,Gift Card,Pending,In Transit,2025-03-20,Standard,"697 Main St, City 35, USA","637 Elm St, City 78, USA",DHL - TRK250582,Product-267,Enjoy your gift!,,John Doe,SN206500,SP-7109
eBay,ORD619599,2024-08-08,PO68632,USD,368.11,59.67,22.18,25.57,2011.05,1840.55,298.35,B0395510,Refurbished,5,Debit Card,Cancelled,In Transit,2025-03-15,Same-Day,"491 Main St, City 51, USA","339 Elm St, City 100, USA",USPS - TRK993217,Product-462,Enjoy your gift!,Bob,John Doe,SN407498,SP-2544
Best Buy,ORD721938,2024-09-18,PO22823,USD,353.73,48.12,47.52,50.51,1405.36,1414.92,192.48,B0748381,New,4,Credit Card,Delivered,In Transit,2025-03-05,Expedited,"274 Main St, City 1, USA","900 Elm St, City 8, USA",Amazon Logistics - TRK964475,Product-298,Happy Birthday!,,Emma Smith,SN960591,SP-1986
Amazon.com,ORD528708,2025-01-30,PO31913,INR,400.13,57.14,28.91,48.05,409.22,400.13,57.14,B0792214,Used - Acceptable,1,PayPal,Delivered,Returned,2025-03-18,Expedited,"459 Main St, City 70, USA","182 Elm St, City 66, USA",Amazon Logistics - TRK419499,Product-423,Enjoy your gift!,Alice,,SN107499,SP-4150
Amazon.com,ORD748330,2024-04-10,PO27394,USD,497.72,37.0,11.15,6.12,3700.2,3484.04,259.0,B0958969,New,7,PayPal,Cancelled,In Transit,2025-03-07,Same-Day,"574 Main St, City 7, USA","769 Elm St, City 68, USA",FedEx - TRK799720,Product-6,Enjoy your gift!,Charlie,,SN524521,SP-3793
Amazon.com,ORD514284,2025-02-22,PO68161,GBP,218.94,28.73,47.03,27.7,659.91,656.82,86.19,B0965605,Used - Like New,3,Credit Card,Pending,Returned,2025-03-01,Two-Day,"105 Main St, City 88, USA","389 Elm St, City 55, USA",Amazon Logistics - TRK102165,Product-170,Enjoy your gift!,,Emma Smith,SN189237,SP-1001
Target,ORD312244,2024-11-05,PO55160,EUR,232.2,28.19,48.98,3.08,771.93,696.6,84.57,B0989262,Used - Like New,3,Gift Card,Pending,Delivered,2025-02-26,Expedited,"763 Main St, City 74, USA","406 Elm St, City 30, USA",DHL - TRK545488,Product-416,,,John Doe,SN294202,SP-7668
Amazon.com,ORD721917,2025-01-15,PO74073,EUR,399.84,29.54,22.97,72.55,2497.81,2798.88,206.78,B0502008,Refurbished,7,PayPal,Cancelled,Returned,2025-03-07,Standard,"653 Main St, City 51, USA","806 Elm St, City 26, USA",DHL - TRK241110,Product-103,Happy Birthday!,Charlie,,SN313450,SP-9344
Amazon.com,ORD141025,2024-07-31,PO57607,USD,279.11,24.34,32.9,78.05,1127.0,1395.55,121.7,B0993935,New,5,PayPal,Cancelled,Delivered,2025-02-27,Same-Day,"674 Main St, City 7, USA","804 Elm St, City 3, USA",Amazon Logistics - TRK430350,Product-21,Enjoy your gift!,Charlie,Emma Smith,SN193267,SP-8075
Target,ORD774966,2024-06-14,PO78809,INR,47.12,5.35,18.33,1.31,255.8,235.6,26.75,B0752427,Used - Acceptable,5,Debit Card,Shipped,Pending,2025-02-21,Two-Day,"318 Main St, City 56, USA","307 Elm St, City 87, USA",USPS - TRK823499,Product-419,Enjoy your gift!,Charlie,Emma Smith,SN633340,SP-2651
Amazon.com,ORD684798,2025-01-31,PO46708,EUR,453.0,84.44,5.08,67.64,1879.2,1812.0,337.76,B0637262,Used - Acceptable,4,PayPal,Cancelled,In Transit,2025-03-05,Same-Day,"110 Main St, City 93, USA","277 Elm St, City 96, USA",UPS - TRK520733,Product-165,Happy Birthday!,Alice,John Doe,SN736802,SP-3473
eBay,ORD801199,2025-02-13,PO65191,EUR,431.14,74.63,32.26,39.58,4661.9,4311.4,746.3,B0327859,New,10,Gift Card,Delivered,Returned,2025-03-08,Expedited,"425 Main St, City 32, USA","690 Elm St, City 91, USA",DHL - TRK323583,Product-226,Happy Birthday!,Bob,Emma Smith,SN170579,SP-9181
Walmart,ORD427603,2025-02-11,PO42621,EUR,220.07,35.61,32.48,21.84,1870.72,1760.56,284.88,B0957448,Used - Like New,8,PayPal,Pending,Pending,2025-02-23,Standard,"617 Main St, City 90, USA","297 Elm St, City 93, USA",Amazon Logistics - TRK621660,Product-327,Happy Birthday!,Alice,John Doe,SN153739,SP-7877
Walmart,ORD940855,2024-11-03,PO84655,USD,421.27,51.5,12.74,71.26,2007.55,2106.35,257.5,B0438738,Used - Acceptable,5,Debit Card,Cancelled,In Transit,2025-02-24,Expedited,"157 Main St, City 18, USA","243 Elm St, City 7, USA",USPS - TRK227161,Product-81,Happy Birthday!,Charlie,,SN170902,SP-3835
Target,ORD349789,2025-01-20,PO55030,GBP,179.46,24.83,31.61,1.31,1217.88,1076.76,148.98,B0877458,New,6,Debit Card,Pending,In Transit,2025-02-24,Two-Day,"572 Main St, City 42, USA","127 Elm St, City 37, USA",FedEx - TRK686870,Product-471,Enjoy your gift!,Charlie,John Doe,SN509166,SP-4905
Target,ORD709422,2024-04-03,PO13698,AUD,390.23,74.83,44.29,13.65,902.82,780.46,149.66,B0514977,Used - Acceptable,2,Debit Card,Pending,Pending,2025-03-18,Standard,"157 Main St, City 71, USA","617 Elm St, City 89, USA",Amazon Logistics - TRK526674,Product-60,,,Emma Smith,SN829770,SP-6741
Walmart,ORD639263,2024-05-26,PO34973,INR,451.12,47.66,48.58,129.87,1106.73,1353.36,142.98,B0224171,Used - Like New,3,PayPal,Pending,Returned,2025-03-03,Standard,"682 Main St, City 87, USA","613 Elm St, City 35, USA",DHL - TRK538661,Product-384,,Bob,John Doe,SN553883,SP-8839
Target,ORD704263,2025-01-08,PO24451,USD,427.56,54.3,17.13,112.23,2957.04,3420.48,434.4,B0470231,Used - Acceptable,8,PayPal,Pending,Returned,2025-03-17,Two-Day,"917 Main St, City 10, USA","771 Elm St, City 63, USA",Amazon Logistics - TRK997477,Product-492,Enjoy your gift!,,,SN620015,SP-8128
Best Buy,ORD696812,2024-08-26,PO95976,USD,186.35,28.04,41.44,42.47,1031.52,1118.1,168.24,B0888957,Refurbished,6,Credit Card,Cancelled,Delivered,2025-03-06,Standard,"159 Main St, City 19, USA","919 Elm St, City 77, USA",UPS - TRK296170,Product-270,Happy Birthday!,Charlie,Emma Smith,SN441738,SP-9521
eBay,ORD349401,2024-11-28,PO72035,INR,72.59,5.47,18.89,6.32,573.92,580.72,43.76,B0883063,Used - Like New,8,Debit Card,Delivered,In Transit,2025-03-08,Same-Day,"686 Main St, City 12, USA","310 Elm St, City 72, USA",FedEx - TRK369091,Product-182,,Bob,Emma Smith,SN143354,SP-2948
Best Buy,ORD601549,2025-01-29,PO92740,USD,127.45,11.57,22.85,22.12,1052.1,1147.05,104.13,B0787854,Used - Acceptable,9,PayPal,Shipped,In Transit,2025-03-01,Expedited,"130 Main St, City 72, USA","959 Elm St, City 95, USA",UPS - TRK802111,Product-440,Enjoy your gift!,Charlie,John Doe,SN789057,SP-3237
Walmart,ORD119687,2025-01-28,PO72203,GBP,496.51,28.8,33.3,132.8,2747.57,3475.57,201.6,B0931315,Used - Like New,7,PayPal,Shipped,In Transit,2025-03-10,Two-Day,"204 Main St, City 53, USA","415 Elm St, City 2, USA",USPS - TRK690497,Product-269,,Bob,,SN537261,SP-6056
Best Buy,ORD161080,2024-10-17,PO16665,AUD,493.26,32.34,39.08,64.16,461.44,493.26,32.34,B0245462,Used - Acceptable,1,Debit Card,Delivered,Delivered,2025-02-20,Standard,"892 Main St, City 3, USA","920 Elm St, City 35, USA",Amazon Logistics - TRK485545,Product-22,Happy Birthday!,Charlie,Emma Smith,SN692090,SP-3205
Walmart,ORD195498,2024-07-08,PO32992,USD,55.1,7.81,37.5,6.0,569.1,551.0,78.1,B0763591,New,10,PayPal,Pending,Delivered,2025-02-28,Standard,"349 Main St, City 36, USA","431 Elm St, City 16, USA",Amazon Logistics - TRK122145,Product-85,Happy Birthday!,,John Doe,SN305966,SP-9086
eBay,ORD894345,2024-05-09,PO69563,AUD,83.19,12.02,26.47,3.44,917.7,831.9,120.2,B0282406,Used - Like New,10,Debit Card,Pending,Pending,2025-03-02,Same-Day,"322 Main St, City 38, USA","976 Elm St, City 4, USA",FedEx - TRK937223,Product-430,,Bob,,SN436909,SP-6216
Amazon.com,ORD187744,2024-05-05,PO39676,USD,169.39,22.49,6.05,31.56,801.6,846.95,112.45,B0321895,Used - Acceptable,5,Debit Card,Pending,Pending,2025-02-21,Same-Day,"399 Main St, City 98, USA","857 Elm St, City 21, USA",USPS - TRK594231,Product-314,Happy Birthday!,,,SN805631,SP-3218
Best Buy,ORD173531,2024-09-24,PO93747,EUR,271.35,48.62,16.13,79.37,721.8,814.05,145.86,B0358960,New,3,Debit Card,Cancelled,Returned,2025-02-25,Same-Day,"486 Main St, City 90, USA","387 Elm St, City 3, USA",Amazon Logistics - TRK350856,Product-307,,,John Doe,SN990934,SP-5102
eBay,ORD781697,2024-06-27,PO61212,USD,54.46,6.82,14.01,10.57,507.1,544.6,68.2,B0189358,New,10,Credit Card,Cancelled,Returned,2025-03-06,Two-Day,"377 Main St, City 4, USA","224 Elm St, City 24, USA",FedEx - TRK307151,Product-251,Enjoy your gift!,Bob,John Doe,SN348638,SP-8426
eBay,ORD234180,2024-06-19,PO74378,INR,422.76,25.42,8.65,86.93,1806.25,2113.8,127.1,B0871559,New,5,Debit Card,Pending,Returned,2025-03-13,Standard,"758 Main St, City 36, USA","866 Elm St, City 8, USA",FedEx - TRK879113,Product-171,,Alice,John Doe,SN884882,SP-9062
Target,ORD878187,2025-02-02,PO19078,GBP,430.0,72.09,33.72,105.84,2377.5,2580.0,432.54,B0910995,New,6,PayPal,Delivered,In Transit,2025-03-06,Standard,"121 Main St, City 78, USA","433 Elm St, City 13, USA",Amazon Logistics - TRK614523,Product-198,Enjoy your gift!,Alice,John Doe,SN928170,SP-3868
eBay,ORD891931,2024-03-25,PO63925,INR,364.73,72.45,24.07,76.22,1443.84,1458.92,289.8,B0512927,Used - Acceptable,4,Debit Card,Cancelled,Returned,2025-02-25,Two-Day,"518 Main St, City 50, USA","111 Elm St, City 91, USA",Amazon Logistics - TRK492639,Product-219,Enjoy your gift!,Bob,Emma Smith,SN582257,SP-1948
Best Buy,ORD332473,2024-10-19,PO70242,AUD,171.34,13.2,30.75,9.31,1226.61,1199.38,92.4,B0504788,Refurbished,7,PayPal,Cancelled,Delivered,2025-02-20,Two-Day,"253 Main St, City 77, USA","860 Elm St, City 16, USA",DHL - TRK618417,Product-22,,Alice,Emma Smith,SN109233,SP-4203
eBay,ORD887425,2024-09-07,PO95625,EUR,256.77,31.01,17.62,5.21,847.71,770.31,93.03,B0154504,Used - Acceptable,3,Gift Card,Cancelled,Returned,2025-03-20,Same-Day,"614 Main St, City 9, USA","965 Elm St, City 1, USA",USPS - TRK916480,Product-243,,,,SN146037,SP-9377
Best Buy,ORD609950,2024-10-10,PO63497,AUD,20.15,1.42,22.8,2.92,130.55,141.05,9.94,B0691441,New,7,Debit Card,Cancelled,In Transit,2025-02-24,Expedited,"323 Main St, City 23, USA","841 Elm St, City 63, USA",FedEx - TRK121944,Product-493,,Alice,Emma Smith,SN425715,SP-1679
Target,ORD606229,2024-10-08,PO29572,EUR,18.8,2.68,28.04,5.07,114.87,131.6,18.76,B0561168,Refurbished,7,PayPal,Pending,Pending,2025-03-06,Expedited,"185 Main St, City 23, USA","461 Elm St, City 70, USA",UPS - TRK386219,Product-489,Happy Birthday!,Charlie,,SN535831,SP-8586
Walmart,ORD443679,2024-03-24,PO32587,EUR,481.14,70.78,24.73,4.53,4379.12,3849.12,566.24,B0650566,New,8,Debit Card,Delivered,In Transit,2025-02-23,Same-Day,"326 Main St, City 40, USA","101 Elm St, City 28, USA",UPS - TRK687710,Product-15,Happy Birthday!,Charlie,,SN610021,SP-2531
Amazon.com,ORD537201,2024-11-18,PO37128,GBP,35.35,4.95,11.36,9.12,155.9,176.75,24.75,B0728540,Used - Like New,5,PayPal,Cancelled,Delivered,2025-03-04,Standard,"830 Main St, City 70, USA","937 Elm St, City 10, USA",FedEx - TRK753020,Product-380,,Charlie,Emma Smith,SN151291,SP-1382
