nancy.howard@hotmail.com,Nancy,Howard,1970-03-15,587 Hickory,California,Carson,90224
nicholas.rivera@icloud.com,Nicholas,Rivera,1993-09-07,129 Adams,California,Long Beach,90853
nicole.evans@gmail.com,Nicole,Evans,1954-07-02,608 Jefferson,California,Signal Hill,90755
nicole.mendoza@gmail.com,Nicole,Mendoza,NULL,76 Jefferson,California,Signal Hill,90755
patricia.wright@icloud.com,Patricia,Wright,1953-07-18,486 Chestnut,California,Santa Fe Springs,90670
patrick.hughes@animalshelter.com,Patrick,Hughes,1988-10-11,660 Spruce,California,La Mirada,90638
peter.smith@hotmail.com,Peter,Smith,1986-08-27,56 Main,California,Los Angeles,90004
phyllis.davis@icloud.com,Phyllis,Davis,1993-10-20,508 Eighth,California,Santa Monica,90408
phyllis.moore@gmail.com,Phyllis,Moore,1988-09-22,583 Eighth,California,Santa Monica,90408
randy.bailey@icloud.com,Randy,Bailey,1973-07-13,980 Oak,California,Compton,90223
richard.castillo@icloud.com,Richard,Castillo,1978-12-26,287 River,California,Culver City,90233
robin.miller@yahoo.com,Robin,Miller,1965-12-11,216 Hill,California,East Los Angeles,90022
robin.murphy@animalshelter.com,Robin,Murphy,1974-10-13,673 Hill,California,East Los Angeles,90022
roger.adams@hotmail.com,Roger,Adams,1947-05-09,639 West,California,Los Angeles,90031
roy.rogers@hotmail.com,Roy,Rogers,1958-07-29,836 Twelfth,California,Los Angeles,90039
ruby.lopez@yahoo.com,Ruby,Lopez,1979-04-05,808 Cedar,California,Long Beach,90804
ryan.garcia@hotmail.com,Ryan,Garcia,1975-03-09,787 Wilson,California,Downey,90239
ryan.hill@icloud.com,Ryan,Hill,1960-11-03,105 Wilson,California,Downey,90239
ryan.jackson@icloud.com,Ryan,Jackson,1947-10-07,487 Wilson,California,Downey,90239
ryan.wright@hotmail.com,Ryan,Wright,NULL,600 Wilson,California,Downey,90239
samuel.baker@gmail.com,Samuel,Baker,1980-01-17,889 Maple,California,Los Angeles,90247
samuel.morales@icloud.com,Samuel,Morales,NULL,896 Maple,California,Los Angeles,90247
sara.nelson@icloud.com,Sara,Nelson,1990-10-15,340 Fifth,California,View Park-Windsor Hills,90043
scott.baker@gmail.com,Scott,Baker,1986-01-11,190 Lake view,California,Los Angeles,90089
scott.gutierrez@gmail.com,Scott,Gutierrez,1985-11-26,993 Lake view,California,Los Angeles,90089
sean.nelson@icloud.com,Sean,Nelson,1986-04-28,339 Ninth,California,Los Angeles,90034
sharon.davis@animalshelter.com,Sharon,Davis,1988-09-25,372 Seventh,California,Los Angeles,90068
sharon.thompson@gmail.com,Sharon,Thompson,1970-06-24,688 Seventh,California,Los Angeles,90068
shirley.williams@outlook.com,Shirley,Williams,1966-08-17,11 Lincoln,California,Santa Monica,90408
stephanie.mez@icloud.com,Stephanie,mez,1994-06-26,539 West,California,Long Beach,90899
susan.murphy@icloud.com,Susan,Murphy,1961-08-02,246 Spruce,California,Long Beach,90808
theresa.carter@icloud.com,Theresa,Carter,1968-08-27,401 Lincoln,California,Long Beach,90831
timothy.anderson@gmail.com,Timothy,Anderson,1973-05-08,33 Seventh,California,Commerce,90023
virginia.baker@gmail.com,Virginia,Baker,1990-11-25,6 Jefferson,California,Santa Monica,90410
walter.edwards@icloud.com,Walter,Edwards,1963-09-04,137 Church,California,Pico Rivera,90661
wanda.gray@icloud.com,Wanda,Gray,1963-03-18,946 Cedar,California,Los Angeles,90710
wanda.myers@animalshelter.com,Wanda,Myers,1975-02-05,663 Cedar,California,Los Angeles,90710
wayne.carter@animalshelter.com,Wayne,Carter,1988-03-15,341 Washington,California,Inglewood,90309
wayne.turner@icloud.com,Wayne,Turner,1966-02-18,350 Washington,California,Inglewood,90309
