Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Amazon,ORD418745,04-08-2025,PO26069,USD,867.18,170.33,10.41,1003.06,4380.76,5203.08,440.57,B02769254,New,6,PayPal,Pending,Pending,18-06-2025,Same-Day,"196 Main St, City 66, USA","503 Elm St, City 68, USA",UPS - TRK544215,Product-825,,David,Michael Brown,SN536023
Amazon,ORD374566,15-09-2025,PO71620,GBP,977.19,105.39,48.49,563.52,3499.12,3908.76,295.41,B08399222,Used - Acceptable,4,Credit Card,Processing,Delivered,03-04-2025,Same-Day,"565 Main St, City 40, USA","666 Elm St, City 9, USA",FedEx - TRK159179,Product-208,Enjoy your gift!,Charlie,Emma Smith,SN554640
eBay,ORD747013,09-10-2025,PO81852,GBP,128.89,13.52,5.78,62.9,1503.08,1546.68,296.81,B09921394,Used - Acceptable,12,PayPal,Pending,Delivered,13-12-2025,Standard,"422 Main St, City 97, USA","296 Elm St, City 70, USA",DHL - TRK743105,Product-820,Congratulations!,Bob,Michael Brown,SN811011
eBay,ORD794926,09-08-2025,PO86194,GBP,794.42,88.43,23.15,211.22,2283.62,2383.26,281.47,B04495918,Used - Good,3,Credit Card,Shipped,Delivered,08-07-2025,Standard,"200 Main St, City 33, USA","267 Elm St, City 73, USA",DHL - TRK505158,Product-456,,Charlie,,SN509696
Best Buy,ORD733475,12-12-2025,PO27211,USD,951.44,81.81,15.46,2456.44,15718.19,18077.36,1493.63,B04243714,Used - Acceptable,19,Credit Card,Pending,In Transit,13-01-2025,Expedited,"418 Main St, City 58, USA","130 Elm St, City 95, USA",DHL - TRK588418,Product-665,Best Wishes!,Charlie,,SN826591
eBay,ORD462928,01-10-2025,PO90384,USD,643.16,67.55,25.99,508.98,10518.28,10933.72,1707.92,B01335172,Used - Good,17,Credit Card,Shipped,Delivered,10-09-2025,Same-Day,"801 Main St, City 42, USA","899 Elm St, City 60, USA",UPS - TRK779104,Product-911,Happy Birthday!,Charlie,John Doe,SN398480
Best Buy,ORD305444,07-02-2025,PO27501,EUR,752.13,57.94,6.42,420.75,7917.04,8273.43,673.38,B05606166,Used - Good,11,PayPal,Pending,In Transit,23-12-2025,Standard,"516 Main St, City 22, USA","968 Elm St, City 94, USA",UPS - TRK689921,Product-563,Happy Birthday!,David,,SN444363
eBay,ORD181301,23-02-2025,PO32337,EUR,761.82,122.25,14.15,1001.82,11323.7,12189.12,1492.8,B03027280,Used - Good,16,PayPal,Processing,Pending,11-02-2025,Same-Day,"12 Main St, City 27, USA","65 Elm St, City 35, USA",DHL - TRK877386,Product-791,Best Wishes!,David,Emma Smith,SN892957
Best Buy,ORD598588,22-09-2025,PO78344,GBP,817.86,99.54,46.8,2161.72,13523.96,15539.34,783.68,B03080061,New,19,PayPal,Processing,Delivered,23-06-2025,Same-Day,"787 Main St, City 96, USA","994 Elm St, City 14, USA",FedEx - TRK658214,Product-336,Best Wishes!,,John Doe,SN481695
Amazon,ORD298549,05-02-2025,PO73769,USD,97.87,9.59,17.82,222.72,1370.61,1565.92,123.93,B01869921,Used - Good,16,PayPal,Pending,In Transit,03-02-2025,Expedited,"548 Main St, City 68, USA","238 Elm St, City 64, USA",DHL - TRK126601,Product-937,,Charlie,Emma Smith,SN458436
Amazon,ORD918107,08-03-2025,PO46716,EUR,902.59,122.25,37.19,3016.51,14292.14,17149.21,1841.19,B04693977,Used - Good,19,PayPal,Pending,Delivered,03-07-2025,Standard,"62 Main St, City 8, USA","212 Elm St, City 2, USA",FedEx - TRK678417,Product-564,Congratulations!,Bob,,SN756173
Amazon,ORD127991,01-04-2025,PO74825,EUR,968.24,110.54,29.66,2886.48,15650.28,18396.56,2679.74,B01570572,New,19,Credit Card,Shipped,Pending,08-05-2025,Same-Day,"81 Main St, City 5, USA","572 Elm St, City 100, USA",DHL - TRK683437,Product-311,Enjoy your gift!,David,Emma Smith,SN334299
Amazon,ORD565125,26-05-2025,PO57454,EUR,565.25,45.37,15.47,844.2,6564.89,7348.25,893.63,B01602224,Used - Acceptable,13,PayPal,Processing,Delivered,12-07-2025,Same-Day,"182 Main St, City 69, USA","759 Elm St, City 2, USA",UPS - TRK358957,Product-980,,David,,SN149307
Amazon,ORD841130,11-12-2025,PO15923,USD,313.8,24.19,34.12,14.41,357.7,313.8,49.68,B03121406,Used - Acceptable,1,PayPal,Processing,Delivered,22-12-2025,Expedited,"268 Main St, City 53, USA","554 Elm St, City 5, USA",UPS - TRK843441,Product-367,Happy Birthday!,Alice,Emma Smith,SN235170
Best Buy,ORD253969,12-01-2025,PO34312,EUR,375.35,45.77,15.85,88.19,5979.03,6005.6,467.39,B05634425,New,16,Debit Card,Shipped,Pending,25-06-2025,Standard,"917 Main St, City 61, USA","323 Elm St, City 47, USA",UPS - TRK502563,Product-608,Congratulations!,David,,SN920199
Best Buy,ORD100324,25-08-2025,PO58507,GBP,717.31,130.19,5.94,563.56,2441.81,2869.24,218.04,B03672674,New,4,Debit Card,Shipped,In Transit,10-02-2025,Same-Day,"586 Main St, City 50, USA","591 Elm St, City 93, USA",DHL - TRK697954,Product-606,Congratulations!,Charlie,John Doe,SN230632
eBay,ORD848785,19-11-2025,PO51073,EUR,536.8,31.1,9.39,125.77,4745.92,4831.2,622.83,B01065895,Used - Acceptable,9,Debit Card,Pending,In Transit,22-05-2025,Same-Day,"75 Main St, City 17, USA","489 Elm St, City 36, USA",FedEx - TRK401819,Product-487,Best Wishes!,,Michael Brown,SN721595
Best Buy,ORD305377,10-03-2025,PO35808,USD,993.13,189.3,20.55,891.55,5277.08,5958.78,828.32,B09042963,Used - Acceptable,6,PayPal,Shipped,In Transit,09-12-2025,Same-Day,"912 Main St, City 36, USA","63 Elm St, City 26, USA",DHL - TRK489291,Product-635,Congratulations!,David,,SN743006
Amazon,ORD769598,09-10-2025,PO20624,EUR,693.64,117.59,6.73,1536.02,11073.82,12485.52,879.43,B05794840,Used - Acceptable,18,Credit Card,Pending,In Transit,06-09-2025,Expedited,"877 Main St, City 39, USA","825 Elm St, City 70, USA",FedEx - TRK786862,Product-556,,David,John Doe,SN144205
Best Buy,ORD306421,13-07-2025,PO96025,USD,559.27,67.05,27.83,1200.3,8961.44,10066.86,1191.28,B08143446,Used - Acceptable,18,Credit Card,Pending,Delivered,25-07-2025,Same-Day,"728 Main St, City 68, USA","315 Elm St, City 22, USA",DHL - TRK325332,Product-482,Best Wishes!,Bob,Emma Smith,SN899964
Amazon,ORD743013,04-06-2025,PO35788,GBP,104.12,13.75,41.39,83.48,596.38,624.72,89.17,B09393159,Used - Acceptable,6,Debit Card,Processing,Delivered,22-10-2025,Standard,"170 Main St, City 88, USA","454 Elm St, City 55, USA",FedEx - TRK139711,Product-668,,,John Doe,SN279175
Best Buy,ORD185923,22-05-2025,PO73368,GBP,972.64,94.78,26.29,47.62,9799.85,9726.4,1084.16,B05850448,Used - Good,10,Credit Card,Processing,In Transit,08-11-2025,Standard,"373 Main St, City 43, USA","471 Elm St, City 94, USA",DHL - TRK353076,Product-944,Happy Birthday!,,Michael Brown,SN863835
Amazon,ORD832771,07-06-2025,PO71754,USD,790.97,75.48,24.63,180.79,10201.93,10282.61,971.4,B03612384,New,13,PayPal,Pending,Pending,28-01-2025,Standard,"184 Main St, City 72, USA","128 Elm St, City 4, USA",FedEx - TRK453088,Product-258,,,John Doe,SN897321
Amazon,ORD577871,24-05-2025,PO82194,EUR,148.03,19.69,26.38,328.32,2382.29,2664.54,254.6,B07082694,New,18,Debit Card,Shipped,Delivered,20-09-2025,Standard,"53 Main St, City 51, USA","792 Elm St, City 85, USA",DHL - TRK408302,Product-771,Enjoy your gift!,Charlie,John Doe,SN311335
Amazon,ORD151688,06-04-2025,PO75075,EUR,161.42,15.75,22.46,67.8,1100.35,1129.94,186.3,B01355428,Used - Good,7,Debit Card,Pending,Pending,06-06-2025,Standard,"678 Main St, City 100, USA","152 Elm St, City 43, USA",DHL - TRK902957,Product-297,,Charlie,,SN868321
eBay,ORD123497,18-03-2025,PO95798,USD,595.6,114.15,5.59,101.83,1804.71,1786.8,262.24,B04127392,Used - Good,3,PayPal,Processing,In Transit,18-08-2025,Same-Day,"98 Main St, City 53, USA","656 Elm St, City 33, USA",UPS - TRK978664,Product-229,,Charlie,Michael Brown,SN625486
eBay,ORD313960,12-01-2025,PO79488,EUR,868.28,93.37,16.96,574.89,4745.12,5209.68,942.12,B01625948,New,6,Credit Card,Shipped,Delivered,27-11-2025,Same-Day,"91 Main St, City 40, USA","270 Elm St, City 31, USA",DHL - TRK735940,Product-261,Best Wishes!,,Emma Smith,SN501506
eBay,ORD540596,14-11-2025,PO92792,EUR,253.21,41.61,12.89,174.39,1652.58,1772.47,347.32,B03405436,Used - Good,7,Credit Card,Processing,Delivered,18-06-2025,Expedited,"147 Main St, City 26, USA","579 Elm St, City 30, USA",FedEx - TRK427470,Product-504,Best Wishes!,Bob,,SN922053
eBay,ORD400363,07-03-2025,PO59936,GBP,447.39,64.77,12.52,131.96,1734.89,1789.56,322.29,B01807082,Used - Acceptable,4,Debit Card,Shipped,In Transit,24-08-2025,Expedited,"829 Main St, City 31, USA","48 Elm St, City 9, USA",DHL - TRK244022,Product-920,Best Wishes!,Bob,Emma Smith,SN224684
Best Buy,ORD671923,11-03-2025,PO27072,USD,550.12,47.66,43.15,757.42,5384.71,6051.32,1177.61,B08807351,Used - Acceptable,11,PayPal,Shipped,Delivered,18-09-2025,Expedited,"551 Main St, City 98, USA","33 Elm St, City 24, USA",FedEx - TRK356229,Product-340,Enjoy your gift!,Alice,Emma Smith,SN801643
eBay,ORD496335,24-02-2025,PO14320,EUR,282.75,46.77,46.42,86.07,2551.87,2544.75,143.84,B07706214,Used - Acceptable,9,Credit Card,Processing,Pending,16-05-2025,Same-Day,"347 Main St, City 77, USA","73 Elm St, City 42, USA",DHL - TRK443644,Product-767,,Alice,John Doe,SN705367
eBay,ORD272307,13-06-2025,PO88414,GBP,60.44,6.69,45.77,174.86,1025.96,1148.36,155.21,B05785781,Used - Good,19,Credit Card,Processing,Pending,08-08-2025,Expedited,"889 Main St, City 53, USA","210 Elm St, City 48, USA",DHL - TRK785470,Product-193,Congratulations!,Bob,Emma Smith,SN225916
Amazon,ORD788856,02-02-2025,PO62274,EUR,891.13,138.85,21.15,2327.67,11199.28,13366.95,1850.14,B04393148,New,15,Credit Card,Shipped,Delivered,12-06-2025,Expedited,"798 Main St, City 49, USA","469 Elm St, City 64, USA",DHL - TRK464690,Product-446,Best Wishes!,,Emma Smith,SN579199
eBay,ORD380610,14-04-2025,PO97366,USD,73.27,3.7,45.6,44.37,1470.33,1465.4,75.08,B08043469,New,20,Debit Card,Processing,Pending,17-03-2025,Same-Day,"261 Main St, City 2, USA","427 Elm St, City 96, USA",UPS - TRK524479,Product-533,Happy Birthday!,Bob,Michael Brown,SN991045
Amazon,ORD201896,28-05-2025,PO48117,USD,127.2,7.05,30.63,3.96,288.12,254.4,39.96,B06697252,New,2,PayPal,Processing,In Transit,04-04-2025,Standard,"376 Main St, City 34, USA","155 Elm St, City 44, USA",DHL - TRK552234,Product-984,Congratulations!,David,Emma Smith,SN912609
Amazon,ORD879946,23-10-2025,PO37171,GBP,305.51,41.02,35.38,42.55,1255.89,1222.04,94.49,B05434036,New,4,PayPal,Processing,Pending,22-12-2025,Expedited,"864 Main St, City 93, USA","391 Elm St, City 76, USA",UPS - TRK299863,Product-543,Best Wishes!,,Emma Smith,SN859993
Amazon,ORD182038,26-07-2025,PO27619,GBP,521.83,101.84,37.05,233.43,1992.78,2087.32,284.66,B07600644,New,4,Credit Card,Shipped,Pending,11-06-2025,Same-Day,"156 Main St, City 10, USA","653 Elm St, City 60, USA",UPS - TRK927231,Product-877,Happy Birthday!,Charlie,Emma Smith,SN427329
Amazon,ORD405264,22-06-2025,PO11748,USD,835.29,144.15,21.29,1311.44,14724.51,15870.51,1289.32,B09451790,Used - Good,19,Debit Card,Pending,Pending,22-04-2025,Standard,"934 Main St, City 85, USA","32 Elm St, City 43, USA",UPS - TRK484562,Product-780,Congratulations!,,Michael Brown,SN766062
Best Buy,ORD615630,28-12-2025,PO27733,GBP,766.8,38.47,24.16,1788.86,7475.37,9201.6,738.87,B03079748,Used - Good,12,Debit Card,Processing,Delivered,28-08-2025,Same-Day,"528 Main St, City 16, USA","663 Elm St, City 18, USA",DHL - TRK538347,Product-331,Happy Birthday!,,John Doe,SN928840
Best Buy,ORD983770,06-04-2025,PO68168,GBP,472.33,27.76,10.76,481.92,4752.23,5195.63,547.82,B01946820,New,11,Credit Card,Processing,In Transit,16-11-2025,Standard,"397 Main St, City 9, USA","332 Elm St, City 27, USA",DHL - TRK369121,Product-791,Best Wishes!,,Michael Brown,SN219216
eBay,ORD297160,28-06-2025,PO40731,EUR,369.86,72.41,11.87,278.62,1654.96,1849.3,184.92,B06069763,New,5,Credit Card,Pending,Pending,16-08-2025,Same-Day,"541 Main St, City 60, USA","381 Elm St, City 10, USA",DHL - TRK739596,Product-241,Enjoy your gift!,Charlie,John Doe,SN116958
Amazon,ORD652002,20-03-2025,PO84129,USD,247.26,35.78,30.7,118.0,937.52,989.04,197.5,B04567330,New,4,Debit Card,Processing,Delivered,11-12-2025,Standard,"664 Main St, City 9, USA","746 Elm St, City 47, USA",UPS - TRK156224,Product-191,Enjoy your gift!,Bob,Emma Smith,SN971006
Best Buy,ORD385362,21-07-2025,PO89323,EUR,158.86,14.11,45.07,464.5,1977.58,2382.9,244.66,B04048407,Used - Good,15,Debit Card,Processing,Delivered,21-02-2025,Expedited,"563 Main St, City 56, USA","41 Elm St, City 18, USA",FedEx - TRK428747,Product-396,Congratulations!,Bob,Michael Brown,SN318802
Amazon,ORD687264,21-06-2025,PO53393,EUR,598.6,33.55,46.81,620.28,7241.88,7781.8,639.17,B02727492,Used - Acceptable,13,Credit Card,Pending,Pending,23-03-2025,Standard,"863 Main St, City 73, USA","138 Elm St, City 35, USA",UPS - TRK597277,Product-120,Enjoy your gift!,Alice,,SN868864
Best Buy,ORD653206,16-06-2025,PO49103,EUR,197.07,37.6,27.91,370.05,2454.44,2758.98,268.86,B09670808,Used - Good,14,Debit Card,Shipped,In Transit,16-10-2025,Standard,"172 Main St, City 65, USA","189 Elm St, City 80, USA",UPS - TRK751143,Product-327,,Bob,,SN856424
eBay,ORD576994,24-05-2025,PO41681,GBP,388.19,45.33,9.59,3.39,439.72,388.19,40.67,B08809517,Used - Good,1,Credit Card,Shipped,Delivered,07-04-2025,Standard,"531 Main St, City 61, USA","647 Elm St, City 31, USA",FedEx - TRK495729,Product-202,,Bob,,SN777954
Amazon,ORD186573,18-08-2025,PO74164,EUR,876.69,45.53,16.15,123.75,14841.66,14903.73,1928.3,B01891644,Used - Good,17,Credit Card,Processing,Delivered,04-08-2025,Expedited,"781 Main St, City 79, USA","220 Elm St, City 67, USA",FedEx - TRK736322,Product-232,Best Wishes!,Bob,John Doe,SN780528
Amazon,ORD617803,21-05-2025,PO94457,EUR,111.75,14.21,6.12,49.64,641.19,670.5,71.96,B06501881,Used - Acceptable,6,Debit Card,Pending,In Transit,20-03-2025,Same-Day,"382 Main St, City 75, USA","859 Elm St, City 85, USA",DHL - TRK338985,Product-180,Congratulations!,Alice,,SN651943
Best Buy,ORD312315,04-10-2025,PO10344,USD,255.6,18.07,35.39,623.78,3519.28,4089.6,550.03,B05889376,Used - Acceptable,16,Debit Card,Processing,Pending,11-12-2025,Same-Day,"683 Main St, City 15, USA","276 Elm St, City 28, USA",DHL - TRK466048,Product-437,Congratulations!,,Emma Smith,SN859777
eBay,ORD841027,19-06-2025,PO34576,EUR,996.58,170.96,47.91,2184.16,10990.25,12955.54,2162.98,B06964866,Used - Acceptable,13,Credit Card,Pending,Pending,07-03-2025,Same-Day,"853 Main St, City 13, USA","348 Elm St, City 61, USA",UPS - TRK133099,Product-912,Best Wishes!,David,,SN370028
eBay,ORD492848,21-06-2025,PO73122,EUR,551.44,36.5,37.29,1042.25,5097.38,6065.84,426.69,B07676469,Used - Acceptable,11,PayPal,Processing,Delivered,04-10-2025,Expedited,"164 Main St, City 92, USA","160 Elm St, City 8, USA",UPS - TRK416776,Product-705,Enjoy your gift!,David,Michael Brown,SN317413
eBay,ORD419585,25-07-2025,PO35241,EUR,898.96,95.1,37.68,132.45,2697.21,2696.88,372.32,B02549071,Used - Acceptable,3,Credit Card,Pending,In Transit,14-02-2025,Same-Day,"461 Main St, City 100, USA","258 Elm St, City 59, USA",UPS - TRK869162,Product-959,Happy Birthday!,Charlie,John Doe,SN909834
Amazon,ORD517317,10-01-2025,PO58980,GBP,301.41,32.41,21.83,563.87,2504.47,3014.1,369.71,B07172311,Used - Good,10,Credit Card,Pending,Delivered,01-03-2025,Standard,"264 Main St, City 20, USA","845 Elm St, City 26, USA",DHL - TRK301294,Product-991,Happy Birthday!,Charlie,Emma Smith,SN353426
Amazon,ORD883773,09-10-2025,PO45751,USD,357.03,34.35,23.53,1223.13,5975.35,7140.6,816.46,B09556701,New,20,PayPal,Shipped,In Transit,28-04-2025,Expedited,"628 Main St, City 43, USA","156 Elm St, City 17, USA",DHL - TRK952352,Product-688,Congratulations!,Charlie,Michael Brown,SN634200
Amazon,ORD895852,13-05-2025,PO33856,USD,485.06,48.78,37.88,253.41,2743.61,2910.36,318.65,B04611120,New,6,Debit Card,Processing,In Transit,16-08-2025,Expedited,"685 Main St, City 65, USA","479 Elm St, City 17, USA",DHL - TRK341351,Product-489,,,,SN128101
Amazon,ORD729097,27-12-2025,PO56368,GBP,287.23,25.4,10.85,558.78,2924.23,3446.76,560.17,B07031086,Used - Acceptable,12,Credit Card,Shipped,Delivered,08-10-2025,Expedited,"466 Main St, City 75, USA","637 Elm St, City 82, USA",UPS - TRK471860,Product-732,Happy Birthday!,Bob,,SN250673
Best Buy,ORD920480,03-09-2025,PO46999,GBP,762.04,150.64,5.48,1694.87,12940.01,14478.76,1226.77,B03626417,Used - Good,19,Credit Card,Pending,In Transit,13-06-2025,Same-Day,"971 Main St, City 65, USA","443 Elm St, City 42, USA",UPS - TRK343706,Product-425,Enjoy your gift!,Charlie,,SN346628
Best Buy,ORD925624,22-01-2025,PO46375,EUR,627.41,37.0,37.75,88.95,1240.62,1254.82,71.89,B07388015,New,2,Debit Card,Pending,Delivered,03-09-2025,Standard,"543 Main St, City 27, USA","414 Elm St, City 43, USA",FedEx - TRK285712,Product-355,Best Wishes!,Bob,,SN827917
eBay,ORD281196,09-10-2025,PO52658,EUR,125.19,9.21,48.27,387.93,2173.35,2503.8,281.35,B01009707,New,20,Debit Card,Shipped,In Transit,17-05-2025,Same-Day,"959 Main St, City 70, USA","159 Elm St, City 98, USA",FedEx - TRK488955,Product-702,Happy Birthday!,,,SN140411
eBay,ORD163767,23-02-2025,PO68195,EUR,139.63,18.6,10.41,107.3,619.86,698.15,95.85,B04612057,Used - Good,5,Credit Card,Processing,Delivered,18-03-2025,Same-Day,"765 Main St, City 79, USA","47 Elm St, City 57, USA",UPS - TRK882853,Product-375,,Charlie,Michael Brown,SN785605
Amazon,ORD294438,08-07-2025,PO64017,EUR,198.42,33.44,47.18,7.69,668.19,595.26,87.84,B02529495,Used - Acceptable,3,Credit Card,Pending,Pending,19-08-2025,Same-Day,"3 Main St, City 44, USA","447 Elm St, City 18, USA",FedEx - TRK461630,Product-143,,David,,SN101348
Amazon,ORD943329,04-11-2025,PO34176,GBP,419.35,50.98,43.47,644.47,2804.78,3354.8,483.03,B07961775,New,8,Credit Card,Processing,Delivered,10-04-2025,Expedited,"366 Main St, City 37, USA","810 Elm St, City 20, USA",UPS - TRK489455,Product-563,Enjoy your gift!,David,,SN904652
eBay,ORD771348,21-02-2025,PO17021,GBP,84.04,6.59,24.49,8.18,1703.7,1680.8,88.74,B07491009,New,20,Debit Card,Processing,In Transit,03-02-2025,Expedited,"732 Main St, City 39, USA","196 Elm St, City 5, USA",DHL - TRK719846,Product-883,,David,Emma Smith,SN568007
eBay,ORD988833,08-04-2025,PO81232,USD,979.92,93.37,18.41,1697.32,13113.26,14698.8,2618.25,B06193617,Used - Acceptable,15,Credit Card,Pending,Pending,18-02-2025,Same-Day,"151 Main St, City 83, USA","334 Elm St, City 77, USA",DHL - TRK137084,Product-797,Best Wishes!,Alice,John Doe,SN559835
Best Buy,ORD731965,08-05-2025,PO13476,USD,991.53,102.68,31.72,246.93,18726.54,18839.07,3109.89,B07512535,New,19,Debit Card,Shipped,Delivered,23-03-2025,Expedited,"256 Main St, City 55, USA","714 Elm St, City 23, USA",UPS - TRK413305,Product-149,Congratulations!,David,Emma Smith,SN833201
Amazon,ORD748659,13-09-2025,PO73903,USD,527.25,48.45,26.46,170.4,2013.51,2109.0,336.77,B08215662,Used - Acceptable,4,Debit Card,Processing,Pending,11-02-2025,Standard,"230 Main St, City 66, USA","832 Elm St, City 12, USA",DHL - TRK598091,Product-768,,Charlie,Emma Smith,SN369806
Best Buy,ORD556300,15-09-2025,PO31870,USD,547.48,44.62,42.61,36.54,3883.05,3832.36,377.52,B04136463,Used - Good,7,PayPal,Shipped,In Transit,05-10-2025,Standard,"669 Main St, City 2, USA","377 Elm St, City 66, USA",DHL - TRK881598,Product-480,Congratulations!,Charlie,John Doe,SN425077
eBay,ORD576460,20-12-2025,PO82223,GBP,613.76,31.04,23.49,464.44,5727.69,6137.6,388.09,B07452123,New,10,PayPal,Processing,In Transit,11-12-2025,Same-Day,"713 Main St, City 29, USA","657 Elm St, City 79, USA",DHL - TRK899034,Product-970,Congratulations!,Alice,Michael Brown,SN851412
eBay,ORD562003,25-03-2025,PO55032,GBP,858.24,148.3,47.76,1282.04,10071.14,11157.12,2121.14,B05651607,Used - Good,13,Debit Card,Processing,In Transit,22-07-2025,Same-Day,"986 Main St, City 55, USA","371 Elm St, City 36, USA",FedEx - TRK982467,Product-468,Best Wishes!,Charlie,John Doe,SN269296
Best Buy,ORD887450,07-07-2025,PO37708,GBP,933.77,56.4,40.28,2292.42,12744.58,14940.32,1336.06,B08596293,Used - Acceptable,16,PayPal,Shipped,Delivered,22-06-2025,Standard,"541 Main St, City 28, USA","39 Elm St, City 27, USA",FedEx - TRK306590,Product-513,Best Wishes!,,Emma Smith,SN577073
Amazon,ORD943569,24-07-2025,PO75639,USD,214.0,39.16,17.09,182.1,1372.15,1498.0,267.45,B03426927,Used - Acceptable,7,Credit Card,Pending,In Transit,04-03-2025,Same-Day,"318 Main St, City 7, USA","729 Elm St, City 45, USA",DHL - TRK905725,Product-337,Happy Birthday!,David,John Doe,SN552545
Best Buy,ORD371029,23-07-2025,PO19930,GBP,261.18,34.67,47.25,301.4,1608.78,1828.26,362.35,B05395433,Used - Good,7,Debit Card,Processing,Delivered,26-10-2025,Standard,"326 Main St, City 30, USA","303 Elm St, City 12, USA",FedEx - TRK529005,Product-675,Best Wishes!,,,SN978919
Best Buy,ORD406276,19-09-2025,PO18063,USD,169.32,26.48,16.53,302.96,1941.21,2201.16,205.16,B03343250,New,13,PayPal,Pending,In Transit,24-01-2025,Expedited,"877 Main St, City 53, USA","246 Elm St, City 41, USA",UPS - TRK375380,Product-645,Congratulations!,Bob,Emma Smith,SN260428
eBay,ORD883349,08-03-2025,PO63418,USD,833.55,92.28,15.34,1846.94,13264.58,15003.9,1521.53,B01379347,Used - Good,18,PayPal,Pending,In Transit,11-03-2025,Same-Day,"375 Main St, City 1, USA","553 Elm St, City 52, USA",UPS - TRK699190,Product-874,,,John Doe,SN274472
eBay,ORD474190,28-04-2025,PO89722,USD,540.86,85.69,25.92,223.46,2592.45,2704.3,528.93,B01963100,New,5,Credit Card,Processing,Pending,22-07-2025,Standard,"970 Main St, City 22, USA","745 Elm St, City 62, USA",DHL - TRK684366,Product-813,Enjoy your gift!,Charlie,,SN494994
