Website,Order ID,Order Date,Purchase Order Number,Currency,Unit Price,Unit Price Tax,Shipping Charge,Total Discounts,Total Owed,Shipment Item Subtotal,Shipment Item Subtotal Tax,ASIN,Product Condition,Quantity,Payment Instrument Type,Order Status,Shipment Status,Ship Date,Shipping Option,Shipping Address,Billing Address,Carrier Name & Tracking Number,Product Name,Gift Message,Gift Sender Name,Gift Recipient Contact Details,Item Serial Number
Target,6cb0386f,2022-07-30,6138dd45-530,GBP,162.69,16.69,14.05,8.08,528.15,299.25,31.74,9416e628-e,Used - Like New,5,Bank Transfer,Cancelled,Pending,2022-08-06,Two-Day,"789 Pine Ave, TX","789 Pine Ave, TX",UPS-4613b07c-d7c,Mechanical Keyboard,,Michael,jane@example.com,444c6b83-a0b4-4
eBay,61852648,2022-12-23,4eb34e8e-b3a,AUD,188.7,36.28,2.8,9.34,236.68,122.66,9.42,8e0b4449-c,Used - Like New,2,PayPal,Returned,Out for Delivery,2022-12-26,Expedited,"654 Birch Ln, WA","456 Oak St, CA",DHL-c0b0fe48-8f6,Gaming Mouse,Best Wishes!,Michael,mark@example.com,95906b0d-0ee4-4
eBay,6c77831c,2023-05-02,cd76b5f7-bb4,AUD,372.58,35.8,2.78,14.72,374.92,184.22,21.13,92bd8e8b-9,Used - Good,5,Gift Card,Pending,Pending,2023-05-09,Same-Day,"654 Birch Ln, WA","456 Oak St, CA",Amazon Logistics-d24b24ff-830,USB-C Charger,Best Wishes!,Sarah,anna@example.com,443aedec-4caf-4
Amazon,a5db6820,2023-06-27,aae9efbd-79d,EUR,402.22,9.91,14.29,6.17,545.41,134.87,16.92,1b5c8090-0,New,5,Bank Transfer,Returned,Delivered,2023-07-04,Two-Day,"654 Birch Ln, WA","456 Oak St, CA",UPS-ee195b09-3b8,Smartphone Case,Enjoy your gift!,Emma,jane@example.com,0924e472-7aa1-4
Walmart,b048ef58,2022-04-09,458555b2-97d,USD,91.58,4.3,15.58,16.22,403.06,444.18,26.73,856fc8e0-3,Used - Good,3,Credit Card,Returned,In Transit,,Standard,"123 Main St, NY","654 Birch Ln, WA",DHL-6662dafe-950,Wireless Headphones,Enjoy your gift!,,anna@example.com,a5f1a47c-98c8-4
Amazon,455c19b4,2025-01-17,9ecf80be-547,GBP,418.52,43.77,2.7,9.12,262.16,32.19,9.95,49d33dcf-8,Refurbished,4,Bank Transfer,Cancelled,Out for Delivery,2025-01-27,Standard,"123 Main St, NY","321 Maple Rd, FL",UPS-1eae9895-994,USB-C Charger,Congratulations!,Sarah,anna@example.com,39a9e6a0-ca00-4
Walmart,bcc658e4,2024-05-26,3d6c08d8-ccc,CAD,144.47,47.79,7.09,17.12,424.08,418.01,12.83,87602e6b-4,Refurbished,1,Bank Transfer,Shipped,Delivered,2024-05-28,Standard,"789 Pine Ave, TX","123 Main St, NY",Amazon Logistics-82d37059-72b,Gaming Mouse,Enjoy your gift!,David,,510413a0-b7b4-4
BestBuy,7a165416,2022-06-15,ea665622-94d,GBP,42.72,7.2,9.38,28.14,331.76,359.12,28.17,496e8ef6-9,Used - Good,5,Bank Transfer,Cancelled,Delivered,2022-06-24,Expedited,"456 Oak St, CA","654 Birch Ln, WA",DHL-f028f9bf-721,Gaming Mouse,Congratulations!,John,anna@example.com,050e4f3c-bd05-4
BestBuy,646e08c0,2024-06-13,f346e0d7-f4e,CAD,28.01,14.33,12.25,26.79,357.45,478.54,29.9,a7ea7529-8,New,3,Credit Card,Cancelled,Out for Delivery,2024-06-15,Same-Day,"456 Oak St, CA","321 Maple Rd, FL",UPS-0258a434-09a,Smartphone Case,Best Wishes!,Emma,jane@example.com,6da691a9-3ab1-4
BestBuy,8970aa4d,2024-03-02,c2cb703c-09d,CAD,408.69,1.13,18.42,8.58,191.11,120.11,41.79,c4642341-d,Used - Like New,4,Credit Card,Cancelled,In Transit,2024-03-03,Standard,"789 Pine Ave, TX","654 Birch Ln, WA",USPS-d53d3570-d25,Wireless Headphones,Happy Birthday!,Emma,anna@example.com,1e4134a7-8011-4
Target,9fe6b4b0,2024-08-02,8e050f01-676,GBP,463.75,47.28,15.23,20.94,233.57,291.37,15.03,f92518d1-1,Used - Good,3,Gift Card,Delivered,In Transit,2024-08-03,Two-Day,"123 Main St, NY","456 Oak St, CA",FedEx-3bbc3479-bf1,Smartphone Case,Enjoy your gift!,David,jane@example.com,a943a7ff-d6e9-4
Target,f5c6f428,2022-11-06,a23afe5d-3f4,CAD,234.16,49.71,16.36,27.93,558.17,108.86,10.12,a1c9beaf-f,New,2,Credit Card,Delivered,Pending,,Same-Day,"789 Pine Ave, TX","456 Oak St, CA",DHL-da306fe9-226,Gaming Mouse,,David,anna@example.com,30590af2-bf12-4
eBay,e4c3bda2,2022-11-17,00624be1-4b7,CAD,414.94,10.9,17.53,11.15,543.96,204.83,7.99,974f2bd8-1,Used - Good,5,Gift Card,Shipped,In Transit,,Expedited,"654 Birch Ln, WA","654 Birch Ln, WA",FedEx-db7dd008-e4c,Mechanical Keyboard,Best Wishes!,David,anna@example.com,41857583-6b7e-4
Walmart,e69c331d,2022-11-01,715b64c7-9ff,EUR,209.66,8.68,8.41,21.29,496.73,421.83,47.56,2fd787ff-4,New,3,PayPal,Pending,In Transit,,Same-Day,"789 Pine Ave, TX","123 Main St, NY",USPS-54c8adbd-d82,Wireless Headphones,,Sarah,mark@example.com,5965601b-0a5e-4
Walmart,c89c7f42,2023-06-06,08982b02-e05,EUR,395.67,19.08,16.68,0.34,93.34,489.25,3.91,50b198bc-1,Refurbished,1,PayPal,Pending,In Transit,2023-06-10,Standard,"123 Main St, NY","123 Main St, NY",Amazon Logistics-948dc097-e51,Smartphone Case,Congratulations!,David,mark@example.com,f66c69d8-abd4-4
eBay,58638537,2024-04-28,069ca06f-f97,AUD,193.24,48.83,17.41,4.63,312.48,16.49,33.49,b3ccc84c-2,New,3,Gift Card,Returned,Pending,,Two-Day,"456 Oak St, CA","321 Maple Rd, FL",Amazon Logistics-1aeb8344-86d,Smartphone Case,,Sarah,anna@example.com,20b1212c-8005-4
Target,e88c28df,2023-08-10,ed560b2e-e96,CAD,238.43,5.77,16.06,7.27,312.1,120.24,27.21,94b472fa-0,Used - Good,3,Credit Card,Shipped,In Transit,2023-08-17,Expedited,"321 Maple Rd, FL","321 Maple Rd, FL",DHL-f5e255e7-3ae,Smartphone Case,Enjoy your gift!,David,,a613af92-3139-4
Amazon,e94685f3,2022-11-23,5e1be36f-4d2,GBP,36.89,35.57,17.0,3.55,421.39,257.55,8.99,7a75a11e-2,Refurbished,1,PayPal,Shipped,Out for Delivery,2022-11-25,Expedited,"456 Oak St, CA","123 Main St, NY",USPS-0b51ff87-a58,Smartphone Case,Best Wishes!,Emma,jane@example.com,5bcef96e-9c22-4
eBay,e2b36985,2023-05-26,ebd4aee1-2e5,EUR,139.58,21.34,11.73,8.07,112.08,125.3,13.79,3932a745-0,Used - Like New,4,Credit Card,Delivered,Pending,2023-05-27,Expedited,"654 Birch Ln, WA","456 Oak St, CA",USPS-148d1cfc-758,Smartphone Case,Happy Birthday!,Michael,,184573a6-edbc-4
Target,f5718ee6,2024-04-14,a27598ab-4bf,EUR,100.62,3.99,5.92,26.23,320.08,230.07,48.45,8e8fa0e8-2,Used - Good,4,Credit Card,Cancelled,Out for Delivery,2024-04-22,Expedited,"321 Maple Rd, FL","321 Maple Rd, FL",UPS-b8c52126-ccd,Smartphone Case,Enjoy your gift!,Emma,,a42b143e-7da8-4
eBay,fdb3c54c,2024-10-18,294d4bd4-ef6,CAD,245.35,47.2,6.72,26.88,444.1,70.84,38.43,c36a4905-1,New,1,PayPal,Returned,In Transit,,Standard,"321 Maple Rd, FL","789 Pine Ave, TX",FedEx-47ffb3ec-bf6,Mechanical Keyboard,Congratulations!,David,mark@example.com,ffe195e6-d9a5-4
eBay,beeccbe2,2023-02-24,575c4195-822,EUR,116.66,10.23,13.36,13.4,86.6,165.6,35.78,9a1a510b-4,New,4,Credit Card,Pending,Pending,2023-03-02,Expedited,"456 Oak St, CA","654 Birch Ln, WA",DHL-1cd6c963-bec,Smartphone Case,,Emma,,4e0c8bac-1e0f-4
eBay,7246670a,2024-07-28,2b6ca3e7-578,USD,5.53,15.47,13.52,14.64,468.85,134.42,31.0,0d330b82-7,Refurbished,2,Bank Transfer,Shipped,Delivered,2024-08-04,Standard,"456 Oak St, CA","654 Birch Ln, WA",FedEx-5f5d01ef-403,USB-C Charger,Enjoy your gift!,John,anna@example.com,e3020fc3-35c2-4
Walmart,827aa09a,2022-10-11,d6dc9079-bea,CAD,484.0,42.42,11.31,20.51,259.43,403.05,40.33,22506a63-a,Refurbished,3,Gift Card,Returned,In Transit,,Standard,"123 Main St, NY","123 Main St, NY",USPS-4a665bdb-0e1,USB-C Charger,,Michael,anna@example.com,6c726db8-ff96-4
Target,ef809d77,2022-11-20,617ddf4e-d8b,EUR,182.99,1.83,0.63,24.02,238.93,293.24,39.4,eeead6b6-b,Used - Like New,4,PayPal,Pending,In Transit,2022-11-27,Two-Day,"789 Pine Ave, TX","654 Birch Ln, WA",UPS-24adba3e-ecc,Gaming Mouse,Happy Birthday!,Sarah,mark@example.com,334fe0dd-603b-4
Target,b802a56e,2024-09-11,89ed4d10-d31,EUR,198.16,4.16,3.55,20.84,455.75,14.0,2.19,13435a53-f,Used - Like New,3,Credit Card,Cancelled,Out for Delivery,2024-09-19,Standard,"654 Birch Ln, WA","123 Main St, NY",UPS-d51c229b-c21,Mechanical Keyboard,Happy Birthday!,Michael,mark@example.com,50274bd4-1b13-4
BestBuy,4999a3b9,2025-01-23,4ddae49e-8f6,EUR,149.28,13.99,9.09,4.84,192.65,393.12,20.97,6621159a-1,New,5,Credit Card,Shipped,Pending,,Standard,"123 Main St, NY","321 Maple Rd, FL",DHL-754f2727-d45,USB-C Charger,Happy Birthday!,David,,865ac3fb-d436-4
Amazon,56abbd60,2022-06-13,9d71b011-db5,USD,387.01,41.16,10.83,11.62,390.34,365.25,38.15,484986fa-9,Used - Good,1,PayPal,Returned,Delivered,,Standard,"456 Oak St, CA","456 Oak St, CA",FedEx-870b60fd-cb6,USB-C Charger,Best Wishes!,Michael,mark@example.com,5a63bc6c-7e0e-4
Amazon,7b6cdb53,2023-09-02,8c29be23-9ae,EUR,192.12,26.86,15.6,26.79,236.51,145.56,10.19,12de40ed-4,Refurbished,2,Credit Card,Shipped,Delivered,,Expedited,"456 Oak St, CA","123 Main St, NY",USPS-79f6784e-a78,USB-C Charger,Happy Birthday!,Michael,mark@example.com,8c63cbee-60bf-4
BestBuy,76199b6d,2025-03-16,bff9638b-e85,GBP,151.19,31.47,16.16,0.11,43.12,373.87,19.45,18eecab2-e,Used - Good,1,Bank Transfer,Pending,In Transit,2025-03-18,Two-Day,"789 Pine Ave, TX","654 Birch Ln, WA",FedEx-ed06f6a8-d55,USB-C Charger,Happy Birthday!,David,mark@example.com,37c4acc8-721f-4
Target,b622be0b,2023-12-05,36a97881-6ae,CAD,260.67,3.08,10.64,12.57,364.28,331.12,40.26,173a01c3-7,Used - Good,3,Bank Transfer,Delivered,Delivered,,Two-Day,"123 Main St, NY","321 Maple Rd, FL",Amazon Logistics-4522c4b0-ca6,Mechanical Keyboard,,Emma,jane@example.com,b3dac6e4-be46-4
Amazon,61e6d303,2023-04-01,a0cb232b-0bd,GBP,8.39,16.66,12.81,23.4,430.35,411.18,48.27,cbfb68d4-3,Refurbished,3,Gift Card,Shipped,In Transit,,Same-Day,"789 Pine Ave, TX","789 Pine Ave, TX",UPS-2b2e329e-ac8,Wireless Headphones,Enjoy your gift!,Michael,mark@example.com,342dbb65-f561-4
eBay,16e0f5e7,2023-09-15,cd169671-cc7,EUR,390.91,43.63,2.36,6.77,337.76,315.57,10.2,c84245ff-7,New,1,Credit Card,Shipped,Delivered,2023-09-22,Expedited,"654 Birch Ln, WA","456 Oak St, CA",USPS-2965cff3-963,Gaming Mouse,Happy Birthday!,David,mark@example.com,19bc4971-16f1-4
Target,bab35e4d,2022-09-27,46198e75-4b0,AUD,212.92,30.89,19.74,26.01,162.26,464.46,30.49,f17a24d7-2,New,4,Gift Card,Cancelled,In Transit,2022-10-06,Same-Day,"789 Pine Ave, TX","456 Oak St, CA",FedEx-d0520953-52f,Smartphone Case,Enjoy your gift!,,anna@example.com,04be1163-5de0-4
Walmart,a61455fa,2024-03-20,beb38571-90e,EUR,173.12,34.64,9.95,29.98,208.4,448.55,47.07,019f87f0-3,Refurbished,3,Bank Transfer,Returned,Pending,2024-03-23,Same-Day,"321 Maple Rd, FL","789 Pine Ave, TX",Amazon Logistics-b4d5b67d-583,Wireless Headphones,Congratulations!,,jane@example.com,39e34fb6-265c-4
Target,3dd49aa4,2023-08-02,68dacab9-774,AUD,109.25,6.08,6.88,12.09,278.09,114.0,1.43,ef0b32f6-7,Used - Like New,4,PayPal,Shipped,Pending,2023-08-08,Expedited,"321 Maple Rd, FL","123 Main St, NY",USPS-d2c75c1b-75a,Gaming Mouse,Congratulations!,David,mark@example.com,e7dd0c1b-a686-4
Walmart,ca623132,2023-01-05,4a02ef53-57d,GBP,85.73,42.03,0.47,29.09,501.52,371.21,15.82,50e2d2d0-8,Refurbished,4,PayPal,Delivered,Delivered,2023-01-07,Same-Day,"123 Main St, NY","654 Birch Ln, WA",UPS-a2e6e416-c32,Mechanical Keyboard,Congratulations!,Emma,anna@example.com,dc09f10e-c338-4
Target,a96cd0b0,2023-07-17,1bdd338c-292,CAD,232.73,32.35,12.42,13.77,373.46,326.8,39.5,24e095c1-8,New,2,Bank Transfer,Returned,Out for Delivery,2023-07-22,Same-Day,"321 Maple Rd, FL","123 Main St, NY",UPS-7c8ff9c2-905,USB-C Charger,Best Wishes!,David,,770df817-2633-4
eBay,196a1ebe,2022-05-25,f90a7253-9f4,USD,201.78,7.77,1.62,28.32,518.95,41.45,20.69,4b6a1d91-2,Refurbished,3,PayPal,Delivered,Pending,2022-06-01,Expedited,"456 Oak St, CA","123 Main St, NY",UPS-8ace7148-5e1,Mechanical Keyboard,Happy Birthday!,Sarah,mark@example.com,3492b31d-20ad-4
Target,54e4de44,2023-05-28,e10f2b39-a76,AUD,130.09,13.43,15.08,4.1,502.02,62.18,1.14,73ab9005-9,Used - Like New,2,Credit Card,Pending,Delivered,2023-05-31,Expedited,"321 Maple Rd, FL","456 Oak St, CA",FedEx-d0d1368f-b76,USB-C Charger,Enjoy your gift!,Emma,mark@example.com,00c8e4ce-9eae-4
Amazon,aa89831b,2023-04-22,ef6a67a3-c43,EUR,460.94,40.69,18.59,8.04,295.55,151.91,8.44,93a59582-5,New,4,Credit Card,Cancelled,Out for Delivery,2023-04-28,Expedited,"654 Birch Ln, WA","456 Oak St, CA",FedEx-6c7d569e-d1c,Smartphone Case,Happy Birthday!,,anna@example.com,a730089e-b522-4
Walmart,20bb9f66,2023-09-10,73ea0977-6d3,CAD,128.22,22.86,10.46,20.91,63.02,229.95,19.58,2069fc19-b,Refurbished,4,Credit Card,Shipped,Out for Delivery,2023-09-17,Same-Day,"654 Birch Ln, WA","789 Pine Ave, TX",FedEx-673efe38-764,Mechanical Keyboard,Happy Birthday!,Sarah,anna@example.com,284644fa-cb8c-4
Target,ec354baf,2024-07-15,1a7aa3c2-56b,CAD,51.74,21.98,9.26,5.8,323.05,397.17,23.37,953840a3-e,Refurbished,2,Bank Transfer,Returned,Pending,2024-07-25,Same-Day,"789 Pine Ave, TX","456 Oak St, CA",DHL-ceddfe52-b47,Wireless Headphones,,Emma,mark@example.com,9c0feab4-ca76-4
Walmart,2aec99dd,2022-07-16,a842760a-bb0,EUR,145.97,23.53,12.27,27.66,189.25,8.97,42.88,66df3638-2,Used - Like New,2,PayPal,Returned,Pending,2022-07-24,Expedited,"654 Birch Ln, WA","456 Oak St, CA",UPS-8e15b8e5-8fe,Wireless Headphones,Happy Birthday!,Michael,mark@example.com,ab0bb1d3-f445-4
Amazon,caa4fd24,2024-03-18,dda4f030-f07,CAD,281.49,19.77,3.65,18.8,207.72,446.49,17.1,d12bf4d2-1,New,2,Gift Card,Shipped,Pending,2024-03-19,Standard,"321 Maple Rd, FL","654 Birch Ln, WA",DHL-da97e507-532,Wireless Headphones,Happy Birthday!,,jane@example.com,c47a2ea4-657e-4
eBay,93deffd1,2024-06-05,d05917f0-9f8,USD,56.88,45.81,18.92,18.71,563.45,345.67,41.46,3b26b52d-e,New,4,Bank Transfer,Shipped,Pending,2024-06-13,Expedited,"321 Maple Rd, FL","654 Birch Ln, WA",DHL-a98998cf-48e,Gaming Mouse,Best Wishes!,Sarah,mark@example.com,5f660646-e307-4
Walmart,5d8bcf27,2023-09-14,19872e45-d8c,AUD,211.56,49.77,2.34,25.86,552.36,411.7,14.39,51c79944-6,Refurbished,3,Credit Card,Returned,Out for Delivery,2023-09-15,Expedited,"321 Maple Rd, FL","456 Oak St, CA",FedEx-7abcd877-d3e,Smartphone Case,,David,jane@example.com,a5fb9b44-8fdf-4
Target,0eae1341,2024-04-13,22b64fca-cec,CAD,33.33,17.05,9.61,28.12,108.11,316.21,16.49,097a70dd-f,New,5,Bank Transfer,Pending,Out for Delivery,2024-04-22,Same-Day,"654 Birch Ln, WA","321 Maple Rd, FL",FedEx-429daea3-ebf,USB-C Charger,Happy Birthday!,Emma,jane@example.com,ef7c141b-f8d4-4
Target,8b6e7733,2023-06-14,f2c4c77b-6e7,CAD,485.5,31.48,8.46,0.91,488.61,163.11,30.12,79c6a80c-4,Used - Good,2,PayPal,Cancelled,Pending,2023-06-24,Same-Day,"789 Pine Ave, TX","123 Main St, NY",FedEx-64fe660c-fe0,Smartphone Case,Best Wishes!,,anna@example.com,077ec913-152a-4
Target,8c4d3148,2023-02-14,7e4596c4-2e5,GBP,112.33,10.85,5.48,15.98,248.18,313.15,32.22,89ab99cd-f,New,1,Bank Transfer,Returned,Delivered,2023-02-16,Same-Day,"123 Main St, NY","321 Maple Rd, FL",DHL-fd178653-6da,Wireless Headphones,Congratulations!,Sarah,jane@example.com,3df036ab-dc1c-4
Walmart,63ebd5e4,2022-06-29,c974eb7c-420,GBP,163.58,8.28,17.76,26.25,503.67,178.33,20.77,f217121c-c,Used - Like New,5,Bank Transfer,Returned,Pending,2022-07-07,Expedited,"456 Oak St, CA","654 Birch Ln, WA",FedEx-b07b9055-052,Wireless Headphones,Enjoy your gift!,John,jane@example.com,56d06a72-4ca8-4
BestBuy,758e923c,2023-03-10,35b32067-a41,GBP,309.06,6.13,17.79,4.2,312.64,142.23,12.33,d88bb3f8-8,Used - Like New,1,Gift Card,Shipped,Out for Delivery,,Two-Day,"321 Maple Rd, FL","456 Oak St, CA",Amazon Logistics-8127edee-c0a,Gaming Mouse,Best Wishes!,Emma,,765f6246-283d-4
BestBuy,58b8bde5,2022-04-04,7a783848-9a9,EUR,154.14,23.71,19.11,10.34,432.48,341.03,11.39,5f276678-3,Refurbished,3,PayPal,Delivered,Delivered,2022-04-13,Two-Day,"456 Oak St, CA","321 Maple Rd, FL",FedEx-779c0ccb-745,Wireless Headphones,Congratulations!,Sarah,mark@example.com,af82369f-25b3-4
BestBuy,2ad2e031,2024-07-12,b57b2aca-66d,USD,243.03,5.4,12.68,4.87,519.73,414.53,28.79,168eb2a9-6,Used - Good,5,Credit Card,Pending,Pending,2024-07-19,Standard,"456 Oak St, CA","654 Birch Ln, WA",DHL-c1c417db-e40,Smartphone Case,Congratulations!,David,jane@example.com,30defaa9-90e7-4
eBay,8f93ae14,2023-09-04,d664968d-38e,USD,125.39,34.44,12.42,25.37,163.35,123.09,25.7,e25db83c-1,Used - Good,3,Bank Transfer,Delivered,Delivered,2023-09-12,Two-Day,"321 Maple Rd, FL","321 Maple Rd, FL",Amazon Logistics-b372b22b-c26,Wireless Headphones,,,anna@example.com,f0cf69a0-2c60-4
Walmart,87e5d422,2023-03-01,7f77d7df-8ea,GBP,477.27,22.51,6.72,6.15,311.31,367.35,2.43,8c00b0ea-b,Used - Like New,4,Credit Card,Cancelled,Pending,2023-03-07,Standard,"321 Maple Rd, FL","789 Pine Ave, TX",USPS-e22d7ed6-650,Smartphone Case,Best Wishes!,,jane@example.com,46eee71a-95db-4
eBay,97edb077,2023-06-27,7169f8b7-edc,EUR,232.81,29.56,4.71,23.84,361.37,28.39,48.77,ec2c7d29-f,Refurbished,2,Bank Transfer,Delivered,In Transit,2023-06-28,Two-Day,"123 Main St, NY","456 Oak St, CA",DHL-2faa832f-11f,USB-C Charger,Happy Birthday!,Sarah,,9e0f19d3-2aad-4
BestBuy,874490a2,2023-04-13,8400cdfa-184,USD,484.39,45.11,0.45,11.28,483.8,69.88,30.42,926411c6-e,New,1,PayPal,Cancelled,Pending,2023-04-17,Expedited,"123 Main St, NY","456 Oak St, CA",UPS-51c63d67-4e4,Wireless Headphones,Happy Birthday!,David,jane@example.com,f98e7df4-81ff-4
eBay,96763e92,2022-07-22,6829b853-c43,USD,341.96,15.35,11.12,13.97,409.64,471.33,49.73,5991b904-2,New,2,Credit Card,Pending,Pending,2022-07-25,Expedited,"123 Main St, NY","654 Birch Ln, WA",FedEx-cb5e465e-32f,Mechanical Keyboard,Enjoy your gift!,David,mark@example.com,a5bcdd10-534c-4
eBay,60ae9e7d,2024-04-24,8a8afd33-e9e,GBP,97.85,4.38,7.3,23.03,515.82,66.15,19.86,c3ab2ff1-a,New,2,Credit Card,Pending,Out for Delivery,2024-04-29,Two-Day,"456 Oak St, CA","789 Pine Ave, TX",USPS-809e6396-c53,USB-C Charger,Congratulations!,John,mark@example.com,be75b0f3-efdf-4
eBay,0d968bd4,2023-05-26,fcbe715c-6f1,CAD,374.79,29.52,0.17,19.98,558.82,433.46,46.95,3d552023-e,Used - Like New,4,PayPal,Returned,Out for Delivery,2023-06-05,Same-Day,"456 Oak St, CA","123 Main St, NY",USPS-9ba051ab-a87,Mechanical Keyboard,,Michael,jane@example.com,9e88d0d8-24ce-4
Target,41509490,2022-12-30,918fc8fc-4b3,EUR,89.25,6.06,6.07,9.07,59.88,245.62,27.1,43adc2b2-f,Refurbished,4,Bank Transfer,Cancelled,Out for Delivery,2023-01-08,Two-Day,"654 Birch Ln, WA","654 Birch Ln, WA",Amazon Logistics-ef270718-972,Wireless Headphones,Enjoy your gift!,Sarah,mark@example.com,fb8fd5e4-73ae-4
Amazon,75d63f5a,2023-11-14,9241eeaf-346,CAD,268.77,38.67,3.63,12.0,75.9,371.85,2.11,bfced40a-b,Used - Like New,1,Credit Card,Cancelled,Delivered,2023-11-20,Expedited,"789 Pine Ave, TX","321 Maple Rd, FL",USPS-43f59b4b-90e,Mechanical Keyboard,,Michael,mark@example.com,de17d065-d7a3-4
Amazon,b7645c2a,2023-11-05,fc38c880-b79,EUR,480.46,4.98,3.05,6.98,387.98,178.4,36.23,26acf436-4,Used - Good,3,PayPal,Shipped,Pending,2023-11-15,Two-Day,"123 Main St, NY","456 Oak St, CA",DHL-05b17cf8-14d,Mechanical Keyboard,Best Wishes!,,jane@example.com,9aadcaa4-40fa-4
